id;part_type;producer;price;FK_id_repair
1448;Clutch kit;Exedy;200;1262
1451;Camshaft position sensor;Dorman;100;1233
1450;Air filter;Fram;50;1231
1451;Camshaft position sensor;Dorman;100;1233
1452;Water pump;Airtex;200;1244
1453;Radiator;Denso;350;1245
1454;Shock absorber;KYB;75;1248
1455;Transmission shift solenoid;Rostra;75;1249
1456;Control arm;Dorman;50;1251
1457;Ignition control module;ACDelco;50;1254
1458;Brake fluid flush;Castrol;100;1255
1459;Transmission speed sensor;ACDelco;25;1256
1460;Transmission speed sensor;ACDelco;25;1266
1461;Ignition coil;Delphi;100;1238
1462;Transmission mount;Westar;25;1238
1463;Ignition switch;Standard Motor Products;25;1242
1464;Transmission fluid change;Valvoline;200;1248
1465;Catalytic converter;MagnaFlow;300;1250
1466;Oil change;Mobil 1;150;1264
1467;EGR valve;Standard Motor Products;50;1239
1468;Control arm;Dorman;50;1239
1469;Transmission mount;Anchor;50;1241
1470;Serpentine belt;Gates;75;1241
1471;Serpentine belt;Gates;75;1242
1472;Tire rotation;-;100;1256
1473;Transmission shift cable;Pioneer Cables;50;1257
1474;Ignition coil;Delphi;100;1261
1475;Wheel lug nuts;Dorman;25;1268
1476;Transmission control module;ACDelco;200;1252
1477;Mass airflow sensor;Spectra Premium;150;1262
1478;Brake caliper;Cardone;50;1274
1479;Engine mount;DEA;50;1275
1480;Engine mount;DEA;50;1280
1481;Mass airflow sensor;Spectra Premium;150;1250
1482;Wheel alignment;-;400;1260
1483;Wheel bearing;SKF;50;1266
1484;Spark plugs;NGK;25;1269
1485;Engine control module;A1 Cardone;200;1277
1490;Transmission mount;Anchor;50;1258
1492;Transmission mount;Anchor;50;1273
1488;Transmission mount;Anchor;50;1255
1489;Exhaust manifold;Dorman;100;1257
1490;Transmission mount;Anchor;50;1258
1491;Camshaft position sensor;Dorman;100;1270
1492;Transmission mount;Anchor;50;1273
1493;Ignition switch;ACDelco;50;1281
1494;Control arm;Moog;150;1282
1495;Brake master cylinder;Centric;100;1287
1496;Transmission pan gasket;Fel-Pro;25;1269
1497;Transmission mount;Anchor;50;1269
1498;MAP sensor;Standard Motor Products;50;1275
1499;Battery;AC Delco;350;1282
1500;Battery;AC Delco;350;1287
1501;Ignition switch;Standard Motor Products;25;1293
1502;Wheel alignment;-;400;1266
1503;Wheel alignment;-;400;1278
1504;CV joint;GSP;100;1280
1505;Wheel hub assembly;Timken;200;1288
1506;Transmission speed sensor;ACDelco;25;1293
1507;Brake fluid flush;Castrol;100;1298
1508;Engine oil cooler;Dorman;75;1277
1509;Brake fluid flush;Castrol;100;1281
1510;Headlight assembly;TYC;100;1284
1511;Muffler;Walker;100;1289
1512;Exhaust hanger;Walker;25;1300
1513;Transmission shift cable;Pioneer Cables;50;1278
1514;Engine oil cooler;Dorman;75;1279
1515;Ignition switch;Standard Motor Products;25;1290
1516;Axle shaft;A1 Cardone;100;1297
1517;Thermostat;Stant;50;1303
1518;Water pump;Airtex;200;1305
1519;Transmission shift solenoid;Rostra;75;1282
1520;Headlight assembly;TYC;100;1283
1521;Ignition control module;ACDelco;50;1295
1522;Fuel pump;Delphi;150;1296
1523;EGR valve gasket;Fel-Pro;25;1304
1524;Brake master cylinder;Centric;100;1308
1525;Catalytic converter;MagnaFlow;300;1310
1526;Wheel bearing;SKF;50;1288
1527;CV joint;GSP;100;1289
1528;EGR valve;ACDelco;75;1298
1529;Radiator fan assembly;TYC;100;1302
1530;Exhaust manifold;Dorman;100;1309
1531;Ignition coil;Delphi;100;1309
1532;Alternator;Bosch;300;1319
1536;Power steering pump;Cardone;150;1301
1534;Control arm bushing;Febi;50;1295
1538;Brake caliper;Cardone;50;1307
1536;Power steering pump;Cardone;150;1301
1537;Air filter;Fram;50;1304
1538;Brake caliper;Cardone;50;1307
1539;Oxygen sensor;Bosch;150;1309
1540;Ignition switch;ACDelco;50;1313
1541;Ignition switch;Standard Motor Products;25;1322
1542;Power steering hose;Gates;100;1297
1543;Transmission shift solenoid;Rostra;75;1302
1544;Brake pads;Brembo;200;1304
1545;Headlight assembly;TYC;100;1300
1546;Fuel tank filler neck;Dorman;50;1300
1547;Power steering pump;Cardone;150;1303
1548;Wheel lug nuts;Dorman;25;1317
1549;Control arm;Dorman;50;1321
1550;Power steering pump;Cardone;150;1326
1551;Mass airflow sensor;Spectra Premium;150;1327
1552;Brake rotor;Centric;100;1328
1553;Brake pads;Brembo;200;1317
1554;Headlight bulb;Philips;25;1317
1555;Control arm;Moog;75;1323
1556;Spark plugs;NGK;25;1324
1557;Brake pads;Brembo;200;1332
1558;Control arm;Moog;150;1333
1559;Battery;AC Delco;350;1336
1560;Transmission speed sensor;ACDelco;25;1341
1561;Windshield wipers;Rain-X;50;1312
1562;Battery;AC Delco;350;1314
1563;Wheel hub assembly;Timken;200;1322
1564;Transmission fluid change;Valvoline;200;1338
1565;Transmission mount;Westar;25;1338
1566;Transmission filter;Fram;50;1344
1567;Oil change;Mobil 1;150;1347
1568;Thermostat;Stant;50;1318
1569;Shock absorber;KYB;75;1324
1570;Fuel injector;Bosch;100;1330
1571;Alternator;Bosch;300;1334
1572;EGR valve;ACDelco;75;1342
1573;Ball joint;Moog;50;1344
1574;CV joint;GSP;100;1319
1575;Oxygen sensor;Bosch;150;1323
1576;Control arm;Moog;75;1332
1577;Transmission pan gasket;Fel-Pro;25;1353
1578;Muffler;Walker;100;1355
1579;Brake caliper;Cardone;50;1355
1580;Camshaft position sensor;Dorman;100;1324
1581;EGR valve;Standard Motor Products;50;1335
1582;Brake fluid flush;Castrol;100;1336
1583;Ignition coil;Bosch;50;1341
1584;Transmission mount;Westar;25;1346
1585;Transmission fluid change;Valvoline;200;1348
1586;CV joint;GSP;100;1351
1587;Fuel filter;Wix;50;1357
1588;Ignition coil;Bosch;50;1359
1589;Transmission control module;ACDelco;200;1327
1590;Serpentine belt;Gates;75;1335
1591;Ignition coil;Delphi;100;1345
1592;Brake pads;Brembo;200;1347
1593;Wheel bearing;SKF;50;1368
1594;Exhaust manifold;Dorman;100;1340
1595;EGR valve;Standard Motor Products;50;1350
1596;Fuel injector;Bosch;100;1356
1597;CV joint;GSP;100;1358
1598;Exhaust manifold;Dorman;100;1363
1599;Wheel alignment;-;400;1364
1601;Transmission pan gasket;Fel-Pro;25;1349
1601;Transmission pan gasket;Fel-Pro;25;1349
1602;Oxygen sensor;Bosch;150;1352
1603;Blower motor;TYC;75;1357
1604;Engine mount;DEA;50;1363
1605;Tie rod end;Mevotech;50;1364
1606;EGR valve;Standard Motor Products;50;1374
1607;Muffler;Walker;100;1378
1608;Radiator;Denso;350;1379
1609;Wheel hub assembly;Timken;200;1343
1610;Transmission fluid cooler;Hayden;50;1354
1611;Alternator;Bosch;300;1358
1612;Water pump;Airtex;200;1359
1613;Clutch kit;Exedy;200;1360
1614;Brake master cylinder;Centric;100;1374
1616;Headlight assembly;TYC;100;1349
1616;Headlight assembly;TYC;100;1349
1617;Ball joint;Moog;50;1351
1618;Radiator fan assembly;TYC;100;1353
1619;Serpentine belt;Gates;75;1368
1620;Transmission speed sensor;ACDelco;25;1378
1621;Radiator;Denso;350;1383
1622;MAP sensor;Standard Motor Products;50;1389
1623;Muffler;Walker;100;1389
1624;Exhaust manifold;Dorman;100;1360
1625;Brake rotor;Centric;100;1373
1626;Headlight assembly;TYC;100;1380
1627;Transmission fluid cooler;Hayden;50;1370
1628;Headlight assembly;TYC;100;1394
1629;Transmission fluid cooler;Hayden;50;1395
1630;Air filter;Fram;50;1366
1631;Throttle body;Dorman;75;1368
1632;Mass airflow sensor;Spectra Premium;150;1369
1633;Transmission mount;Anchor;50;1372
1634;CV joint;GSP;100;1374
1635;Brake master cylinder;Centric;100;1383
1636;EGR valve;Standard Motor Products;50;1396
1637;Serpentine belt;Gates;75;1370
1638;Fuel injector;Bosch;100;1372
1639;Transmission control module;ACDelco;200;1373
1640;Fuel tank;Spectra Premium;200;1373
1641;Catalytic converter;MagnaFlow;300;1401
1643;Transmission pan gasket;Fel-Pro;25;1377
1643;Transmission pan gasket;Fel-Pro;25;1377
1644;Transmission mount;Westar;25;1378
1645;Axle shaft;A1 Cardone;100;1379
1646;Throttle body;Dorman;75;1379
1647;Ignition switch;ACDelco;50;1393
1648;Transmission control module;ACDelco;200;1399
1649;Thermostat;Stant;50;1399
1650;Shock absorber;KYB;75;1403
1651;Radiator fan assembly;TYC;100;1409
1652;Control arm bushing;Dorman;25;1382
1653;Ignition coil;Bosch;50;1384
1654;Ignition switch;ACDelco;50;1393
1655;EGR valve;ACDelco;75;1394
1656;EGR valve;Standard Motor Products;50;1402
1657;Transmission filter;Fram;50;1402
1658;Transmission shift solenoid;Rostra;75;1413
1659;Control arm bushing;Dorman;25;1396
1660;PCV valve;Standard Motor Products;25;1406
1661;PCV valve;Standard Motor Products;25;1409
1662;Brake rotor;Centric;100;1422
1663;Transmission pan gasket;Fel-Pro;25;1395
1664;Catalytic converter;MagnaFlow;300;1416
1665;Headlight assembly;TYC;100;1418
1666;Engine control module;A1 Cardone;200;1419
1667;Wheel hub assembly;Timken;200;1426
1668;Fuel pressure regulator;Delphi;25;1400
1669;Ignition switch;ACDelco;50;1402
1670;Ball joint;Moog;50;1406
1671;Fuel pressure regulator;Delphi;25;1408
1672;Control arm;Dorman;50;1410
1673;Fuel tank filler neck;Dorman;50;1426
1674;Wheel alignment;-;400;1428
1675;Serpentine belt;Gates;75;1408
1676;Drive belt;Gates;25;1413
1677;Brake rotor;Centric;100;1427
1678;Exhaust manifold;Dorman;100;1428
1679;Radiator fan assembly;TYC;100;1432
1680;Ignition switch;Standard Motor Products;25;1433
1681;Brake caliper;Cardone;50;1419
1682;Control arm bushing;Dorman;25;1419
1683;Ignition coil;Delphi;100;1420
1684;Serpentine belt;Gates;75;1414
1685;Power steering hose;Gates;100;1417
1686;Transmission speed sensor;ACDelco;25;1417
1687;Axle shaft;A1 Cardone;100;1436
1688;Blower motor;TYC;75;1445
1689;Control arm bushing;Dorman;25;1418
1690;Brake pads;Brembo;200;1428
1691;Wheel alignment;-;400;1438
1692;Wheel cylinder;Raybestos;50;1441
1693;Wheel cylinder;Raybestos;50;1444
1694;Ignition coil;Delphi;100;1449
1695;Ignition switch;Standard Motor Products;25;1450
1696;Brake rotor;Centric;100;1427
1697;Oxygen sensor;Bosch;150;1441
1698;Fuel injector;Bosch;100;1446
1699;Air filter;Fram;50;1432
1700;CV joint;GSP;100;1433
1701;Shock absorber;KYB;75;1438
1702;Transmission control module;ACDelco;200;1447
1703;MAP sensor;Standard Motor Products;50;1448
1704;Fuel injector;Bosch;100;1462
1705;Control arm bushing;Febi;50;1433
1706;Muffler;Walker;100;1435
1707;Throttle body;Dorman;75;1437
1708;Power steering pump;Cardone;150;1439
1709;Transmission shift cable;Pioneer Cables;50;1459
1710;Transmission pan gasket;Fel-Pro;25;1460
1711;Control arm bushing;Febi;50;1440
1712;Control arm;Moog;75;1442
1713;EGR valve gasket;Fel-Pro;25;1444
1714;Transmission pan gasket;Fel-Pro;25;1445
1715;Transmission mount;Westar;25;1457
1716;Transmission fluid cooler;Hayden;50;1469
1717;Transmission pan gasket;Fel-Pro;25;1474
1718;Power steering hose;Gates;100;1450
1719;Tie rod end;Mevotech;50;1456
1720;Clutch kit;Exedy;200;1467
1721;Ball joint;Moog;50;1455
1722;Power steering pump;Cardone;150;1456
1723;Control arm;Moog;150;1461
1724;Engine oil cooler;Dorman;75;1466
1725;Fuel filter;Wix;50;1469
1726;Muffler;Walker;100;1475
1727;Power steering pump;Cardone;150;1479
1728;Camshaft position sensor;Dorman;100;1465
1729;Air filter;Fram;50;1471
1730;EGR valve;Standard Motor Products;50;1481
1731;Fuel tank;Spectra Premium;200;1486
1732;Transmission mount;Westar;25;1456
1733;Fuel tank filler neck;Dorman;50;1458
1734;Exhaust hanger;Walker;25;1466
1735;Air filter;Fram;50;1470
1736;Spark plugs;NGK;25;1475
1737;Tie rod end;Mevotech;50;1483
1738;Throttle body;Dorman;75;1487
1739;Power steering pump;Cardone;150;1461
1740;Ignition control module;ACDelco;50;1472
1741;Transmission speed sensor;ACDelco;25;1483
1742;Brake master cylinder;Centric;100;1487
1743;Oil change;Mobil 1;150;1496
1744;Windshield wipers;Rain-X;50;1498
1745;Oil change;Mobil 1;150;1500
1746;Fuel filter;Wix;50;1470
1747;Fuel pressure regulator;Delphi;25;1475
1748;EGR valve gasket;Fel-Pro;25;1488
1749;Fuel pressure regulator;Delphi;25;1497
1750;Power steering hose;Gates;100;1498
1751;Oil change;Mobil 1;150;1499
1752;Catalytic converter;MagnaFlow;300;1505
1753;Transmission mount;Anchor;50;1472
1754;Battery;AC Delco;350;1474
1755;Ignition coil;Delphi;100;1474
1756;Serpentine belt;Gates;75;1482
1757;Engine oil cooler;Dorman;75;1489
1758;Ignition switch;Standard Motor Products;25;1490
1759;Oxygen sensor;Bosch;150;1494
1760;Ignition control module;ACDelco;50;1497
1761;Fuel tank;Spectra Premium;200;1507
1762;Muffler;Walker;100;1512
1763;Ignition coil;Delphi;100;1480
1764;Camshaft position sensor;Dorman;100;1480
1765;Headlight assembly;TYC;100;1482
1766;Ignition switch;Standard Motor Products;25;1484
1767;Brake master cylinder;Centric;100;1486
1768;Ignition coil;Delphi;100;1489
1769;Engine control module;A1 Cardone;200;1492
1770;Headlight bulb;Philips;25;1496
1771;Wheel lug nuts;Dorman;25;1496
1772;Clutch kit;Exedy;200;1500
1773;Control arm bushing;Dorman;25;1505
1774;Engine oil cooler;Dorman;75;1507
1775;Blower motor;TYC;75;1513
1776;Fuel filter;Wix;50;1516
1777;Wheel hub assembly;Timken;200;1517
1778;Muffler;Walker;100;1499
1779;Transmission fluid change;Valvoline;200;1500
1780;CV joint;GSP;100;1508
1781;Catalytic converter;MagnaFlow;300;1493
1782;Wheel hub assembly;Timken;200;1494
1783;Wheel hub assembly;Timken;200;1509
1784;EGR valve;ACDelco;75;1505
1785;Wheel alignment;-;400;1530
1786;Brake fluid flush;Castrol;100;1503
1787;Radiator;Denso;350;1522
1788;Brake fluid flush;Castrol;100;1522
1789;Headlight bulb;Philips;25;1534
1790;Axle shaft;A1 Cardone;100;1535
1791;Ignition switch;Standard Motor Products;25;1503
1792;Transmission fluid cooler;Hayden;50;1513
1793;Fuel tank filler neck;Dorman;50;1518
1794;Ignition control module;ACDelco;50;1535
1795;Exhaust hanger;Walker;25;1508
1796;Windshield wipers;Rain-X;50;1509
1797;Windshield wipers;Rain-X;50;1512
1798;Control arm;Moog;75;1519
1799;Transmission pan gasket;Fel-Pro;25;1525
1800;Transmission mount;Westar;25;1532
1801;Tire rotation;-;100;1536
1802;Thermostat;Stant;50;1537
1803;Fuel pressure regulator;Delphi;25;1538
1804;EGR valve gasket;Fel-Pro;25;1542
1805;Brake rotor;Centric;100;1543
1806;Ignition coil;Bosch;50;1545
1807;Ball joint;Moog;50;1521
1808;Catalytic converter;MagnaFlow;300;1527
1809;Fuel filter;Wix;50;1530
1810;Transmission fluid cooler;Hayden;50;1530
1811;Control arm;Dorman;50;1531
1812;Wheel bearing;SKF;50;1545
1813;MAP sensor;Standard Motor Products;50;1546
1814;Air filter;Fram;50;1531
1815;Oil change;Mobil 1;150;1526
1816;Wheel bearing;SKF;50;1527
1817;Fuel tank filler neck;Dorman;50;1528
1818;Ignition switch;ACDelco;50;1531
1819;Ignition coil;Bosch;50;1541
1820;Tie rod end;Mevotech;50;1541
1821;Muffler;Walker;100;1545
1822;Camshaft position sensor;Dorman;100;1550
1823;Radiator;Denso;350;1550
1824;Fuel pressure regulator;Delphi;25;1553
1825;Windshield wipers;Rain-X;50;1534
1826;Water pump;Airtex;200;1544
1827;Battery;AC Delco;350;1550
1828;Engine control module;A1 Cardone;200;1551
1829;Clutch kit;Exedy;200;1557
1830;Headlight bulb;Philips;25;1558
1831;Power steering hose;Gates;100;1563
1832;Engine oil cooler;Dorman;75;1559
1833;Catalytic converter;MagnaFlow;300;1566
1834;Headlight bulb;Philips;25;1536
1837;Exhaust manifold;Dorman;100;1549
1836;Control arm;Moog;75;1547
1837;Exhaust manifold;Dorman;100;1549
1838;Fuel filter;Wix;50;1554
1839;Serpentine belt;Gates;75;1571
1840;Ignition switch;ACDelco;50;1574
1841;Control arm;Moog;150;1574
1842;Control arm;Dorman;50;1543
1843;Water pump;Airtex;200;1551
1844;Fuel pump;Delphi;150;1557
1845;Engine oil cooler;Dorman;75;1560
1846;Fuel pump;Delphi;150;1562
1847;Ignition coil;Bosch;50;1573
1848;Exhaust manifold;Dorman;100;1573
1849;Control arm bushing;Febi;50;1574
1850;Thermostat;Stant;50;1575
1851;Fuel tank filler neck;Dorman;50;1577
1852;Transmission mount;Westar;25;1582
1853;Fuel tank filler neck;Dorman;50;1566
1854;Tie rod end;Mevotech;50;1567
1855;Tie rod end;Mevotech;50;1584
1856;Radiator fan assembly;TYC;100;1563
1857;Fuel tank;Spectra Premium;200;1570
1858;Exhaust manifold;Dorman;100;1580
1859;Transmission fluid change;Valvoline;200;1584
1860;Tie rod end;Mevotech;50;1584
1861;Transmission shift solenoid;Rostra;75;1563
1862;Windshield wipers;Rain-X;50;1565
1863;Transmission mount;Westar;25;1570
1864;Transmission shift cable;Pioneer Cables;50;1587
1865;Throttle body;Dorman;75;1587
1866;Transmission pan gasket;Fel-Pro;25;1589
1867;Fuel injector;Bosch;100;1592
1868;Tire rotation;-;100;1576
1869;Ignition switch;Standard Motor Products;25;1578
1870;Transmission pan gasket;Fel-Pro;25;1586
1871;PCV valve;Standard Motor Products;25;1590
1872;Water pump;Airtex;200;1591
1873;Fuel injector;Bosch;100;1592
1874;Air filter;Fram;50;1596
1878;Control arm bushing;Dorman;25;1583
1876;Ignition coil;Delphi;100;1576
1877;Throttle body;Dorman;75;1577
1878;Control arm bushing;Dorman;25;1583
1879;Transmission mount;Anchor;50;1595
1880;Transmission speed sensor;ACDelco;25;1599
1881;Brake pads;Brembo;200;1602
1882;Fuel injector;Bosch;100;1589
1883;Wheel lug nuts;Dorman;25;1590
1884;Blower motor;TYC;75;1593
1885;Transmission mount;Westar;25;1596
1886;Fuel injector;Bosch;100;1610
1887;Ignition switch;ACDelco;50;1591
1888;Transmission speed sensor;ACDelco;25;1598
1889;Headlight bulb;Philips;25;1609
1890;Wheel hub assembly;Timken;200;1612
1891;Thermostat;Stant;50;1617
1892;Wheel hub assembly;Timken;200;1596
1893;Engine mount;DEA;50;1599
1894;Camshaft position sensor;Dorman;100;1608
1895;Transmission filter;Fram;50;1614
1896;Brake fluid flush;Castrol;100;1622
1897;Transmission fluid cooler;Hayden;50;1594
1898;Oil change;Mobil 1;150;1604
1899;Oxygen sensor;Bosch;150;1608
1900;Oil change;Mobil 1;150;1610
1901;Throttle body;Dorman;75;1612
1902;Engine control module;A1 Cardone;200;1622
1903;Wheel bearing;SKF;50;1626
1904;Control arm;Dorman;50;1628
1905;Fuel tank filler neck;Dorman;50;1595
1906;Transmission fluid change;Valvoline;200;1627
1907;Wheel cylinder;Raybestos;50;1600
1908;EGR valve;ACDelco;75;1602
1909;Ignition coil;Bosch;50;1606
1910;Drive belt;Gates;25;1611
1911;Wheel cylinder;Raybestos;50;1615
1912;Oil change;Mobil 1;150;1618
1913;Control arm;Dorman;50;1621
1914;Suspension strut;Monroe;200;1631
1915;Wheel bearing;SKF;50;1638
1916;Headlight bulb;Philips;25;1612
1917;Mass airflow sensor;Spectra Premium;150;1613
1918;Ignition switch;Standard Motor Products;25;1616
1919;Wheel alignment;-;400;1617
1920;Brake pads;Brembo;200;1624
1921;Mass airflow sensor;Spectra Premium;150;1627
1922;Water pump;Airtex;200;1609
1923;Brake fluid flush;Castrol;100;1611
1924;Fuel pressure regulator;Delphi;25;1614
1925;Air filter;Fram;50;1621
1926;Headlight assembly;TYC;100;1626
1927;Wheel hub assembly;Timken;200;1637
1928;Mass airflow sensor;Spectra Premium;150;1638
1929;Control arm;Dorman;50;1640
1930;Ignition coil;Delphi;100;1620
1931;Transmission fluid change;Valvoline;200;1624
1932;EGR valve;Standard Motor Products;50;1625
1933;Engine oil cooler;Dorman;75;1626
1934;Radiator fan assembly;TYC;100;1628
1935;Exhaust manifold;Dorman;100;1632
1936;Power steering hose;Gates;100;1636
1937;Air filter;Fram;50;1642
1938;Blower motor;TYC;75;1642
1939;Brake caliper;Cardone;50;1647
1940;Radiator;Denso;350;1650
1941;Control arm bushing;Dorman;25;1642
1942;Blower motor;TYC;75;1651
1943;Ball joint;Moog;50;1631
1944;Ignition coil;Delphi;100;1635
1945;Transmission speed sensor;ACDelco;25;1646
1946;Water pump;Airtex;200;1648
1947;Ball joint;Moog;50;1650
1948;Wheel hub assembly;Timken;200;1656
1949;Air filter;Fram;50;1661
1950;Fuel pump;Delphi;150;1629
1951;Fuel filter;Wix;50;1641
1952;Blower motor;TYC;75;1657
1953;Wheel cylinder;Raybestos;50;1662
1954;Fuel filter;Wix;50;1663
1955;Engine oil cooler;Dorman;75;1639
1956;Fuel tank filler neck;Dorman;50;1645
1957;Transmission mount;Anchor;50;1647
1958;Wheel lug nuts;Dorman;25;1670
1959;Transmission fluid cooler;Hayden;50;1657
1960;EGR valve;ACDelco;75;1659
1962;Engine control module;A1 Cardone;200;1644
1962;Engine control module;A1 Cardone;200;1644
1963;Brake fluid flush;Castrol;100;1652
1964;Fuel injector;Bosch;100;1655
1965;Axle shaft;A1 Cardone;100;1658
1966;Thermostat;Stant;50;1664
1967;Brake caliper;Cardone;50;1665
1968;Brake fluid flush;Castrol;100;1667
1969;Engine oil cooler;Dorman;75;1668
1970;Battery;AC Delco;350;1675
1971;Wheel alignment;-;400;1681
1972;Wheel bearing;SKF;50;1650
1973;EGR valve gasket;Fel-Pro;25;1667
1974;Ignition switch;Standard Motor Products;25;1667
1975;Catalytic converter;MagnaFlow;300;1669
1976;Headlight bulb;Philips;25;1672
1977;Wheel cylinder;Raybestos;50;1684
1978;Control arm;Dorman;50;1654
1979;Transmission fluid change;Valvoline;200;1656
1980;Engine mount;DEA;50;1664
1981;Brake caliper;Cardone;50;1665
1982;Wheel lug nuts;Dorman;25;1678
1983;Transmission filter;Fram;50;1679
1984;Fuel pump;Delphi;150;1683
1985;Radiator;Denso;350;1686
1986;Engine oil cooler;Dorman;75;1688
1987;Camshaft position sensor;Dorman;100;1692
1988;Ignition control module;ACDelco;50;1693
1989;Ball joint;Moog;50;1659
1990;Transmission fluid change;Valvoline;200;1662
1991;Tie rod end;Mevotech;50;1662
1992;Wheel cylinder;Raybestos;50;1664
1993;Wheel hub assembly;Timken;200;1673
1994;Brake master cylinder;Centric;100;1680
1995;Tire rotation;-;100;1690
1996;Suspension strut;Monroe;200;1666
1997;Ignition switch;Standard Motor Products;25;1668
1998;Engine mount;DEA;50;1670
1999;Control arm;Dorman;50;1670
2000;Wheel bearing;SKF;50;1682
2001;MAP sensor;Standard Motor Products;50;1685
2002;Wheel bearing;SKF;50;1685
2003;Throttle body;Dorman;75;1686
2004;Wheel lug nuts;Dorman;25;1695
2005;Transmission speed sensor;ACDelco;25;1701
2006;Exhaust hanger;Walker;25;1673
2007;Brake pads;Brembo;200;1675
2010;Wheel alignment;-;400;1687
2009;EGR valve;Standard Motor Products;50;1681
2010;Wheel alignment;-;400;1687
2011;Transmission mount;Anchor;50;1688
2012;Control arm bushing;Dorman;25;1688
2013;Headlight assembly;TYC;100;1694
2014;Wheel alignment;-;400;1694
2015;Engine oil cooler;Dorman;75;1697
2016;Serpentine belt;Gates;75;1701
2017;Headlight assembly;TYC;100;1678
2018;Control arm;Dorman;50;1680
2019;Air filter;Fram;50;1681
2020;EGR valve;Standard Motor Products;50;1699
2021;Exhaust hanger;Walker;25;1700
2022;Transmission fluid change;Valvoline;200;1710
2023;Muffler;Walker;100;1714
2024;Wheel alignment;-;400;1682
2025;Camshaft position sensor;Dorman;100;1693
2026;Exhaust hanger;Walker;25;1711
2027;Axle shaft;A1 Cardone;100;1700
2028;Exhaust hanger;Walker;25;1709
2029;Exhaust hanger;Walker;25;1715
2030;Exhaust manifold;Dorman;100;1724
2031;Transmission fluid change;Valvoline;200;1691
2032;Tire rotation;-;100;1694
2033;Fuel tank;Spectra Premium;200;1702
2034;Water pump;Airtex;200;1708
2035;Throttle body;Dorman;75;1709
2036;Transmission shift cable;Pioneer Cables;50;1728
2037;Ignition coil;Delphi;100;1697
2038;Control arm;Moog;75;1706
2039;Transmission shift cable;Pioneer Cables;50;1711
2040;Throttle body;Dorman;75;1711
2041;Shock absorber;KYB;75;1722
2042;Ball joint;Moog;50;1723
2043;Exhaust hanger;Walker;25;1708
2044;Fuel pressure regulator;Delphi;25;1714
2045;Air filter;Fram;50;1724
2046;Oil change;Mobil 1;150;1721
2047;Control arm bushing;Dorman;25;1723
2048;Headlight bulb;Philips;25;1729
2049;Thermostat;Stant;50;1731
2050;Ignition switch;Standard Motor Products;25;1733
2051;Wheel alignment;-;400;1734
2052;Brake pads;Brembo;200;1739
2055;EGR valve gasket;Fel-Pro;25;1717
2054;Ignition control module;ACDelco;50;1714
2055;EGR valve gasket;Fel-Pro;25;1717
2056;Headlight bulb;Philips;25;1726
2057;Control arm;Moog;75;1730
2058;Control arm;Moog;150;1735
2059;Wheel hub assembly;Timken;200;1739
2060;Transmission speed sensor;ACDelco;25;1744
2061;Tie rod end;Mevotech;50;1722
2062;Transmission shift solenoid;Rostra;75;1725
2063;Wheel cylinder;Raybestos;50;1736
2064;Control arm bushing;Dorman;25;1738
2065;Crankshaft position sensor;Beck/Arnley;50;1742
2066;Control arm;Dorman;50;1743
2067;Ignition switch;ACDelco;50;1745
2068;Water pump;Airtex;200;1747
2069;Wheel alignment;-;400;1747
2070;EGR valve;Standard Motor Products;50;1748
2071;Muffler;Walker;100;1751
2072;CV joint;GSP;100;1725
2073;Engine mount;DEA;50;1747
2074;Control arm bushing;Dorman;25;1737
2075;Transmission speed sensor;ACDelco;25;1753
2076;Fuel tank;Spectra Premium;200;1761
2077;Transmission shift solenoid;Rostra;75;1763
2078;Fuel injector;Bosch;100;1733
2079;Transmission pan gasket;Fel-Pro;25;1733
2080;Serpentine belt;Gates;75;1734
2081;Transmission fluid change;Valvoline;200;1738
2082;Power steering hose;Gates;100;1744
2083;Brake pads;Brembo;200;1744
2084;Fuel tank;Spectra Premium;200;1749
2085;Transmission filter;Fram;50;1751
2086;Fuel tank;Spectra Premium;200;1757
2087;Control arm bushing;Dorman;25;1758
2088;Ignition switch;ACDelco;50;1760
2089;Tire rotation;-;100;1762
2090;Transmission speed sensor;ACDelco;25;1741
2091;Thermostat;Stant;50;1760
2092;Radiator;Denso;350;1767
2093;Engine control module;A1 Cardone;200;1749
2094;Fuel filter;Wix;50;1751
2095;Ignition switch;ACDelco;50;1763
2096;PCV valve;Standard Motor Products;25;1773
2097;Transmission mount;Anchor;50;1778
2098;Control arm;Moog;150;1763
2099;Spark plugs;NGK;25;1768
2100;Fuel pressure regulator;Delphi;25;1772
2101;Oxygen sensor;Bosch;150;1774
2102;Windshield wipers;Rain-X;50;1779
2103;Transmission shift cable;Pioneer Cables;50;1785
2104;Brake pads;Brembo;200;1750
2105;Ignition control module;ACDelco;50;1762
2106;Axle shaft;A1 Cardone;100;1765
2107;Ignition switch;Standard Motor Products;25;1768
2108;Water pump;Airtex;200;1771
2109;Transmission shift cable;Pioneer Cables;50;1776
2110;Ignition coil;Delphi;100;1755
2111;Transmission shift cable;Pioneer Cables;50;1761
2112;Engine control module;A1 Cardone;200;1764
2113;Engine control module;A1 Cardone;200;1766
2114;Throttle body;Dorman;75;1766
2115;Alternator;Bosch;300;1786
2116;PCV valve;Standard Motor Products;25;1787
2117;Muffler;Walker;100;1791
2118;Fuel pump;Delphi;150;1760
2119;Radiator;Denso;350;1765
